SPLIT-OPPOSITE LOW-NON-NATIVE TURN-LEFT CASES — CANDIDATES,,,,
Status,UNVERIFIED — physically test and correct every bridge.,,,
Assumptions,Low non-native; start inward at facing 0; finish outward at facing 180; turn left over one halfbeat; timing never pauses.,,,
Scope,Chasing-2 tests an explicit early setup: the right poi remains on B for one extra halfbeat before the shared body turn.,,,
Hypothesis,Lower-confidence topology hypothesis: use the non-native one-hand bridges while preserving the two chasing offsets.,,,
,,,,
Chasing-1 reference,,C a down,C a up,Facing 180 reference: C b up / C b down.
Chasing-2 reference,,C a down,L b up,Facing 180 reference: C b down / C b up.
,,,,
t,facing,left,right,Body edge
"SO non-native chasing-1 → chasing-1, turn left — both cross A→B",,,,
0,0,C a up,L b down,
1,0,R b down,L b up,
2,0,R b up,C a down,
3,0,C a down,C a up,
4,0,C a up,L b down,
5,0,R b down,L b up,
6,0,R b up,C a down,
7,0,C a down,C a up,Turn happens between 7 and 8. Both cross A→B through the same left gate.
8,180,C b up,C b down,
9,180,C b down,L a up,
10,180,R a up,L a down,
11,180,R a down,C b up,
12,180,C b up,C b down,
,,,,
"SO non-native chasing-1 → chasing-2, turn left — left holds A / right crosses A→B",,,,
0,0,C a up,L b down,
1,0,R b down,L b up,
2,0,R b up,C a down,
3,0,C a down,C a up,
4,0,C a up,L b down,
5,0,R b down,L b up,
6,0,R b up,C a down,
7,0,C a down,C a up,Turn happens between 7 and 8. Left holds A; right crosses A→B.
8,180,R a up,C b down,
9,180,R a down,L a up,
10,180,C b up,L a down,
11,180,C b down,C b up,
12,180,R a up,C b down,
,,,,
"SO non-native chasing-2 → chasing-1, turn left — left holds A / right prepares and holds B",,,,
0,0,R b down,C a up,
1,0,R b up,L b down,
2,0,C a down,L b up,
3,0,C a up,C a down,
4,0,R b down,C a up,
5,0,R b up,L b down,
6,0,C a down,L b up,
7,0,C a up,L b down,"Turn happens between 7 and 8. Right remains on B for one extra halfbeat, then left holds A and right holds B through the body turn."
8,180,R a down,C b up,
9,180,C b up,C b down,
10,180,C b down,L a up,
11,180,R a up,L a down,
12,180,R a down,C b up,
,,,,
"SO non-native chasing-2 → chasing-2, turn left — left crosses A→B / right prepares and holds B",,,,
0,0,R b down,C a up,
1,0,R b up,L b down,
2,0,C a down,L b up,
3,0,C a up,C a down,
4,0,R b down,C a up,
5,0,R b up,L b down,
6,0,C a down,L b up,
7,0,C a up,L b down,Turn happens between 7 and 8. Right remains on B for one extra halfbeat; left crosses A→B while right holds B through the body turn.
8,180,C b down,C b up,
9,180,R a up,C b down,
10,180,R a down,L a up,
11,180,C b up,L a down,
12,180,C b down,C b up,
,,,,
