LEFT LOW-WEAVE CLOCKWISE FIXED-TARGET TURN CANDIDATES,,,,,,,
Status,CANDIDATES — endpoints generated from Mel; shortest bridges generated from the current partial low-reel topology; not physically verified.,,,,,,
Pattern,Left low weave: left hand low-native / right hand low-non-native.,,,,,,
Direction,"Source Mel graph is same-clockwise at facing 0. Target Mel graph is same-counterclockwise at facing 180, while both poi preserve clockwise motion in the observer-fixed world frame.",,,,,,
Offsets,Mel internal offsets only: source 0 (TS) targets 0/2; source 1 (SS) targets 1/3.,,,,,,
Bridge objective,Start on any row of the exact source cycle; use exactly one shared 180-degree turn; stop on first entry into the exact fixed target cycle. Bridge length counts halfbeat edges.,,,,,,
Important limit,"The search validates each hand separately and synchronizes the turn. It does not prove that the two-arm combination is open, collision-free, comfortable, or physically possible.",,,,,,
,,,,,,,
CASE SUMMARY,,,,,,,
Case,Timing,Source offset,Target offset,Turn,Shortest bridge,Candidates,Physical verification
ts-cw-0-to-0-turn-left,TS,0,0,left,1 halfbeat,4,
ts-cw-0-to-0-turn-right,TS,0,0,right,1 halfbeat,4,
ts-cw-0-to-2-turn-left,TS,0,2,left,1 halfbeat,2,
ts-cw-0-to-2-turn-right,TS,0,2,right,1 halfbeat,2,
ss-cw-1-to-1-turn-left,SS,1,1,left,1 halfbeat,2,
ss-cw-1-to-1-turn-right,SS,1,1,right,1 halfbeat,2,
ss-cw-1-to-3-turn-left,SS,1,3,left,1 halfbeat,2,
ss-cw-1-to-3-turn-right,SS,1,3,right,1 halfbeat,2,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-LEFT — CANDIDATE A OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn left.,,,,,,
Shortest bridge,1 halfbeat; left cross; right cross; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b down,L b down,source,,,
1,0,C a up,C a up,source,,,
2,0,C a down,C a down,source,,,
3,0,L b up,L b up,source,Turn left between 3 and 4: left cross; right cross.,,
4,180,L a down,L a down,target,First exact target offset 0 row.,,
5,180,L a up,L a up,target,,,
6,180,C b down,C b down,target,,,
7,180,C b up,C b up,target,,,
8,180,L a down,L a down,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-LEFT — CANDIDATE B OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn left.,,,,,,
Shortest bridge,1 halfbeat; left hold; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b down,L b down,source,,,
1,0,C a up,C a up,source,,,
2,0,C a down,C a down,source,,,
3,0,L b up,L b up,source,Turn left between 3 and 4: left hold; right hold.,,
4,180,C b down,C b down,target,First exact target offset 0 row.,,
5,180,C b up,C b up,target,,,
6,180,L a down,L a down,target,,,
7,180,L a up,L a up,target,,,
8,180,C b down,C b down,target,Target cycle closes.,,
,,,,,,,
CASE TS-CW-0-TO-0-TURN-LEFT — CANDIDATE C OF 4,,,,,,,
Fixed endpoints,TS source offset 0 → TS target offset 0; turn left.,,,,,,
Shortest bridge,1 halfbeat; left hold; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a up,C a up,source,,,
1,0,C a down,C a down,source,,,
