UNRESOLVED MEL-TURNING ISSUES,,,,
Status,"CANDIDATES / QUESTIONS — derived from the current verified evidence and partial topology model; every movement row below still needs physical review.",,,
Scope,"Only remaining uncertainties are listed. Established front/rear circle, facing, timing, phase, crossing-gate, and known hold rules are treated as constraints.",,,
Review method,"Check each full route physically. Correct movement rows directly and answer the explicit question in the final column.",,,
,,,,
ISSUE REGISTER,,,,
ID,Status,Question,Current model / evidence,What physical verification must decide
U1,Topology-invalid fixture,"Where should the right-hand inward low-back turn-right crossing occur?","The old Cb b down → Cb a up edge points right, but a rear-circle turn right opens the left gate.","Choose U1A, U1B, another route, or reject this movement."
U2,Topology-valid but unverified,"Does SO non-native chasing-2 → chasing-2 work at the corrected earlier turn?","At t6→t7 the left crosses A→B through the left gate and the right holds B into ordinary C b.","Verify the joint arm path and retained chasing-2 offset."
U3,Topology-valid but unverified,"Does SS counter → unison work at the corrected wheel/open turn?","At t7→t8 the left holds B into ordinary C b while the right crosses A→B through the left gate.","Verify the joint arm path and that both poi can meet at center B without a timing distortion."
U4,Normalization inference,"Are the corrected TO unison-source rows L b up rather than the originally transcribed C b up?","Facing 0 requires this B-side poi to be behind the performer. L b is facing-valid and preserves the reel path; front C b is not.","Confirm U4A and U4B against the physical movement."
U5,Notation interpretation,"Did we interpret the two ambiguous hold statements correctly?","Right-hand R b + turn right was interpreted as R b → C b. The duplicated final left-hand statement was interpreted as left-hand R b + turn right → C b.","Confirm both readings or supply corrected source/target labels."
U6,Missing hold evidence,"What holds are legal from hand placements Cb, Lb, and Rb?","The model deliberately returns unresolved for these sources; it does not infer them by symmetry.","Provide physically checked source / hand / turn-side / target cases."
U7,Back-center history,"Does Cb need Clb and Chb states?","Cb cannot freely access both low-back and high-back. Its reachable exit depends on whether the arm entered through the low or high route.","Decide whether later weave/back work requires explicit Clb and Chb notation."
U8,Joint anatomy,"Which pairs of individually legal hand edges are jointly performable?","The current legality model validates each hand and synchronizes facing, but has no two-arm collision, openness, or entanglement model.","Use the weave branch matrix as the first physical test of joint legality."
,,,,
CASE U1 OLD — RIGHT LOW BACK INWARD TURN RIGHT CROSS — REJECTED BY CURRENT GATE RULE,,,,
Reason,"The turn edge Cb b down → Cb a up is a rear-circle crossing. Counterclockwise down→up points right; rear-circle turn right requires the opposite, left gate.",,,
t,facing,right,Body edge / verification note,
0,0,Cb b down,,
1,0,Cb b up,,
2,0,Lb a down,,
3,0,Lb a up,,
4,0,Cb b down,Old turn happens between 4 and 5; topology-invalid.,
5,180,Cb a up,,
6,180,Cb a down,,
7,180,Lb b up,,
8,180,Lb b down,,
,,,,
CASE U1A — ALTERNATIVE EARLY Cb CROSS THROUGH LEFT GATE,,,,
Hypothesis,"Move the turn to Cb b up → Cb a down. Counterclockwise up→down points left, matching the rear-circle turn-right gate.",,,
t,facing,right,Body edge / verification note,
0,0,Cb b down,,
1,0,Cb b up,Turn happens between 1 and 2; verify that the surrounding low-back route is performable.,
2,180,Cb a down,,
3,180,Cb a up,,
4,180,Lb b down,,
5,180,Lb b up,,
6,180,Cb a down,,
