TOGETHER-SAME LOW-NATIVE TURN-RIGHT CASES — VERIFIED,,,,
Status,VERIFIED — all four bridges were physically checked.,,,
Assumptions,Low native; both poi clockwise in the observer frame; facing 0 → 180; turn right over one halfbeat; timing never pauses.,,,
Scope,This is an independent clockwise turn-right derivation; it is not assumed to mirror the verified turn-left file.,,,
Finding,"All four bridges are valid. Chasing-2 → chasing-1 first changes the pattern into the chasing-1 node and then uses the familiar turn bridge, so it is a legal two-edge route rather than necessarily a distinct minimum bridge.",,,
,,,,
Chasing-1 reference,,C a up,C a up,Facing 180 reference: C b up / R a up.
Chasing-2 reference,,C a up,R b up,Facing 180 reference: C b up / C b up.
,,,,
t,facing,left,right,Body edge
"TS chasing-1 → chasing-1, turn right — both cross A→B",,,,
0,0,C a down,R b down,
1,0,L b up,R b up,
2,0,L b down,C a down,
3,0,C a up,C a up,
4,0,C a down,R b down,
5,0,L b up,R b up,
6,0,L b down,C a down,
7,0,C a up,C a up,Turn happens between 7 and 8. Both cross A→B through the same right gate at the shared horizontal midpoint.
8,180,C b down,C b down,
9,180,C b up,R a up,
10,180,L a down,R a down,
11,180,L a up,C b up,
12,180,C b down,C b down,
,,,,
"TS chasing-1 → chasing-2, turn right — left holds A / right crosses A→B",,,,
0,0,C a down,R b down,
1,0,L b up,R b up,
2,0,L b down,C a down,
3,0,C a up,C a up,
4,0,C a down,R b down,
5,0,L b up,R b up,
6,0,L b down,C a down,
7,0,C a up,C a up,Turn happens between 7 and 8. Left holds A; right crosses A→B.
8,180,L a down,C b down,
9,180,L a up,R a up,
10,180,C b down,R a down,
11,180,C b up,C b up,
12,180,L a down,C b down,
,,,,
"TS chasing-2 → chasing-1, turn right — left prepares on A / both cross A→B",,,,
0,0,L b down,R b down,
1,0,C a up,R b up,
2,0,C a down,C a down,
3,0,L b up,C a up,
4,0,L b down,R b down,
5,0,C a up,R b up,
6,0,C a down,C a down,
7,0,C a up,C a up,"Turn happens between 7 and 8. Left remains on A for one extra halfbeat instead of crossing to B; then both cross A→B through the right gate. Verified, but this first changes chasing-2 into the chasing-1 node; treat it as a preparation edge plus the familiar body-turn edge when searching for minimum paths."
8,180,C b down,C b down,
9,180,C b up,R a up,
10,180,L a down,R a down,
11,180,L a up,C b up,
12,180,C b down,C b down,
,,,,
"TS chasing-2 → chasing-2, turn right — left prepares and holds A / right crosses A→B",,,,
0,0,L b down,R b down,
1,0,C a up,R b up,
2,0,C a down,C a down,
3,0,L b up,C a up,
4,0,L b down,R b down,
5,0,C a up,R b up,
6,0,C a down,C a down,
7,0,C a up,C a up,Turn happens between 7 and 8. Left remains on A for one extra halfbeat and holds A; right crosses A→B.
8,180,L a down,C b down,
9,180,L a up,R a up,
10,180,C b down,R a down,
11,180,C b up,C b up,
12,180,L a down,C b down,
