LOW-WEAVE SAME-CLOCKWISE NATURAL-SIDE TURN CANDIDATES,,,,
Status,"CANDIDATES — re-derived from the current facing, front/rear circle, crossing-gate, and known-hold rules; not physically verified.",,,
Scope,"Four small low-weave routes plus every per-hand topology-valid target pair at their chosen turn edge.",,,
Assumptions,"Both poi remain clockwise in the observer-fixed frame; body turns 0→180 over one halfbeat; phase never pauses; front C remains one equivalence class.",,,
Beat-graph notation,"Together/split timing is combined with direction mode: TS and SS use clockwise/counterclockwise; TO and SO use inwards/outwards. This file currently covers TS clockwise and SS clockwise only.",,,
Reading note,"A listed branch is legal for each hand separately. It is not yet proof that the two hands are jointly open, collision-free, or comfortable.",,,
,,,,
CASE W1 — TS CLOCKWISE — LEFT-SIDE LOW WEAVE — TURN LEFT — BOTH CROSS TOGETHER,,,,
Pattern,"TS clockwise: together timing, same direction. Both poi remain clockwise in the observer-fixed beat graph.",,,
Configuration,Left hand low native; right hand low non-native; both tracks occupy performer-left and are together at the horizontal midpoint.,,,
t,facing,left,right,Body edge / verification note
0,0,L b up,L b up,
1,0,L b down,L b down,
2,0,C a up,C a up,
3,0,C a down,C a down,Turn happens between 3 and 4. Both cross A→B through performer-left; clockwise down→up points left.
4,180,C b up,C b up,
5,180,L a down,L a down,
6,180,L a up,L a up,
7,180,C b down,C b down,
8,180,C b up,C b up,
,,,,
CASE W2 — SS CLOCKWISE — LEFT-SIDE LOW WEAVE — TURN LEFT — LEFT CROSSES / RIGHT HOLDS A,,,,
Pattern,"SS clockwise: split timing, same direction. Both poi remain clockwise in the observer-fixed beat graph.",,,
Configuration,Left hand low native; right hand low non-native; both tracks occupy performer-left and are split by one halfbeat.,,,
t,facing,left,right,Body edge / verification note
0,0,L b up,C a down,
1,0,L b down,L b up,
2,0,C a up,L b down,
3,0,C a down,C a up,Turn happens between 3 and 4. Left crosses A→B through performer-left. Right cannot cross here because clockwise up→down points right; it holds A and becomes body-right R a.
4,180,C b up,R a down,
5,180,L a down,C b up,
6,180,L a up,C b down,
7,180,C b down,R a up,
8,180,C b up,R a down,
,,,,
CASE W3 — TS CLOCKWISE — RIGHT-SIDE LOW WEAVE — TURN RIGHT — BOTH CROSS TOGETHER,,,,
Pattern,"TS clockwise: together timing, same direction. Both poi remain clockwise in the observer-fixed beat graph.",,,
Configuration,Left hand low non-native; right hand low native; both tracks occupy performer-right and are together at the horizontal midpoint.,,,
t,facing,left,right,Body edge / verification note
0,0,R b down,R b down,
1,0,R b up,R b up,
2,0,C a down,C a down,
3,0,C a up,C a up,Turn happens between 3 and 4. Both cross A→B through performer-right; clockwise up→down points right.
4,180,C b down,C b down,
5,180,R a up,R a up,
6,180,R a down,R a down,
7,180,C b up,C b up,
8,180,C b down,C b down,
,,,,
CASE W4 — SS CLOCKWISE — RIGHT-SIDE LOW WEAVE — TURN RIGHT — LEFT CROSSES / RIGHT HOLDS A,,,,
Pattern,"SS clockwise: split timing, same direction. Both poi remain clockwise in the observer-fixed beat graph.",,,
Configuration,Left hand low non-native; right hand low native; both tracks occupy performer-right and are split by one halfbeat.,,,
t,facing,left,right,Body edge / verification note
0,0,R b down,C a up,
1,0,R b up,R b down,
2,0,C a down,R b up,
3,0,C a up,C a down,Turn happens between 3 and 4. Left crosses A→B through performer-right. Right cannot cross here because clockwise down→up points left; it holds A and becomes body-left L a.
4,180,C b down,L a up,
5,180,R a up,C b down,
6,180,R a down,C b up,
7,180,C b up,L a down,
8,180,C b down,L a up,
,,,,
TURN-EDGE BRANCH MATRIX — PER-HAND TOPOLOGY ONLY,,,,,,
ID,Timing,Direction,Source at facing 0,Turn,Topology-valid target pair at facing 180,Physical question
W1-A,TS,clockwise,"left C a down / right C a down",left,"left C b up / right C b up","Both cross together. Baseline route above."
W1-B,TS,clockwise,"left C a down / right C a down",left,"left C b up / right R a up","Left crosses; right holds A. Is the mixed pair jointly open?"
W1-C,TS,clockwise,"left C a down / right C a down",left,"left R a up / right C b up","Left holds A; right crosses. Is the mixed pair jointly open?"
W1-D,TS,clockwise,"left C a down / right C a down",left,"left R a up / right R a up","Both hold A. Is this jointly possible or do the arms collapse/collide?"
W2-A,SS,clockwise,"left C a down / right C a up",left,"left C b up / right R a down","Left crosses; right holds A. Baseline route above."
W2-B,SS,clockwise,"left C a down / right C a up",left,"left R a up / right R a down","Both hold A at opposite phases. Is this jointly possible?"
W3-A,TS,clockwise,"left C a up / right C a up",right,"left C b down / right C b down","Both cross together. Baseline route above."
W3-B,TS,clockwise,"left C a up / right C a up",right,"left C b down / right L a down","Left crosses; right holds A. Is the mixed pair jointly open?"
W3-C,TS,clockwise,"left C a up / right C a up",right,"left L a down / right C b down","Left holds A; right crosses. Is the mixed pair jointly open?"
W3-D,TS,clockwise,"left C a up / right C a up",right,"left L a down / right L a down","Both hold A. Is this jointly possible or do the arms collapse/collide?"
W4-A,SS,clockwise,"left C a up / right C a down",right,"left C b down / right L a up","Left crosses; right holds A. Baseline route above."
W4-B,SS,clockwise,"left C a up / right C a down",right,"left L a down / right L a up","Both hold A at opposite phases. Is this jointly possible?"
