batch_id,case_id,route_id,selection_reason,seed,source_left,source_right,source_direction,source_offset,target_left,target_right,target_direction,target_offset,timing,source_family,target_family,turn_direction,bridge_halfbeats,preparation_halfbeats,recovery_halfbeats,shortest_bridge_halfbeats,is_shortest,model_status,evidence_status,evidence_references
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn left · phase variant 1/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-02,low-reel-route-d23560bd,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn left · phase variant 2/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-03,low-reel-route-2f518ce1,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn left · phase variant 3/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-04,low-reel-route-40d38bd7,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn left · phase variant 4/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-05,low-reel-route-257521dd,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn right · phase variant 1/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-06,low-reel-route-2f9e2133,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn right · phase variant 2/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-07,low-reel-route-58a97881,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn right · phase variant 3/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-08,low-reel-route-fb144833,left low weave · opposite inwards→outwards · SO · same-offset · offset 0→0 · turn right · phase variant 4/4,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,0,SO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-09,low-reel-route-c799c983,left low weave · opposite inwards→outwards · TO · same-offset · offset 1→1 · turn left · phase variant 1/2,20260730,low-native,low-non-native,opposite-in,1,low-native,low-non-native,opposite-out,1,TO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-10,low-reel-route-23c42125,left low weave · opposite inwards→outwards · TO · same-offset · offset 1→1 · turn left · phase variant 2/2,20260730,low-native,low-non-native,opposite-in,1,low-native,low-non-native,opposite-out,1,TO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-11,low-reel-route-a72ac383,left low weave · opposite inwards→outwards · TO · same-offset · offset 1→1 · turn right · phase variant 1/2,20260730,low-native,low-non-native,opposite-in,1,low-native,low-non-native,opposite-out,1,TO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-12,low-reel-route-164f675d,left low weave · opposite inwards→outwards · TO · same-offset · offset 1→1 · turn right · phase variant 2/2,20260730,low-native,low-non-native,opposite-in,1,low-native,low-non-native,opposite-out,1,TO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-13,low-reel-route-f93682a4,left low weave · opposite inwards→outwards · SO · alternate-offset · offset 0→2 · turn left · first phase representative; 1 partner deferred,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,2,SO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-14,low-reel-route-964b99d4,left low weave · opposite inwards→outwards · SO · alternate-offset · offset 0→2 · turn right · first phase representative; 1 partner deferred,20260730,low-native,low-non-native,opposite-in,0,low-native,low-non-native,opposite-out,2,SO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-15,low-reel-route-54c226aa,left low weave · opposite inwards→outwards · TO · alternate-offset · offset 1→3 · turn left · first phase representative; 1 partner deferred,20260730,low-native,low-non-native,opposite-in,1,low-native,low-non-native,opposite-out,3,TO,weave,weave,left,1,0,0,1,true,valid,unreviewed,
low-weave-opposite-review-001,low-weave-opposite-review-001-16,low-reel-route-4dff867e,left low weave · opposite inwards→outwards · TO · alternate-offset · offset 1→3 · turn right · first phase representative; 1 partner deferred,20260730,low-native,low-non-native,opposite-in,1,low-native,low-non-native,opposite-out,3,TO,weave,weave,right,1,0,0,1,true,valid,unreviewed,
