VERIFIED — LEFT LOW-WEAVE SS OFFSET 3 CLOCKWISE → OFFSET 1 COUNTERCLOCKWISE,,,,,,,
Status,PHYSICALLY VERIFIED — all four equal-shortest candidates are legal.,,,,,,
Pattern,Left low weave: left hand low-native / right hand low-non-native.,,,,,,
Direction,"Source Mel graph is same-clockwise at facing 0. Target Mel graph is same-counterclockwise at facing 180, while both poi preserve clockwise motion in the observer-fixed world frame.",,,,,,
Offsets,Mel internal offsets only: source SS offset 3 clockwise; target SS offset 1 counterclockwise.,,,,,,
Bridge objective,Start on any row of the exact source cycle; use exactly one shared 180-degree turn; stop on first entry into the exact fixed target cycle. Bridge length counts halfbeat edges.,,,,,,
Important limit,"The halfbeat turn edge is a discrete notation boundary. In performance the torso can begin roughly a quarter-beat before it and finish roughly a quarter-beat after it, so adjacent legal phase choices may describe nearly the same continuous turn.",,,,,,
,,,,,,,
CASE SUMMARY,,,,,,,
Case,Timing,Source offset,Target offset,Turn,Shortest bridge,Candidates,Physical verification
ss-cw-3-to-ccw-1-turn-left,SS,3,1,left,1 halfbeat,2,verified
ss-cw-3-to-ccw-1-turn-right,SS,3,1,right,1 halfbeat,2,verified
,,,,,,,
CASE SS-CW-3-TO-CCW-1-TURN-LEFT — CANDIDATE A OF 2,verified,,,,,,
Fixed endpoints,SS clockwise source offset 3 → SS counterclockwise target offset 1; turn left.,,,,,,
Shortest bridge,1 halfbeat; left cross; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b down,C a up,source,,,
1,0,C a up,C a down,source,,,
2,0,C a down,L b up,source,,,
3,0,L b up,L b down,source,Turn left between 3 and 4: left cross; right hold.,,Verified. Keep this phase candidate; do not collapse adjacent legal turn-edge notations.
4,180,L a down,C b up,target,First exact target offset 1 row.,,
5,180,L a up,L a down,target,,,
6,180,C b down,L a up,target,,,
7,180,C b up,C b down,target,,,
8,180,L a down,C b up,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-3-TO-CCW-1-TURN-LEFT — CANDIDATE B OF 2,verified,,,,,,
Fixed endpoints,SS clockwise source offset 3 → SS counterclockwise target offset 1; turn left.,,,,,,
Shortest bridge,1 halfbeat; left cross; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,L b up,L b down,source,,,
1,0,L b down,C a up,source,,,
2,0,C a up,C a down,source,,,
3,0,C a down,L b up,source,Turn left between 3 and 4: left cross; right hold.,,Verified. Keep this phase candidate; do not collapse adjacent legal turn-edge notations.
4,180,C b up,C b down,target,First exact target offset 1 row.,,
5,180,L a down,C b up,target,,,
6,180,L a up,L a down,target,,,
7,180,C b down,L a up,target,,,
8,180,C b up,C b down,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-3-TO-CCW-1-TURN-RIGHT — CANDIDATE A OF 2,verified,,,,,,
Fixed endpoints,SS clockwise source offset 3 → SS counterclockwise target offset 1; turn right.,,,,,,
Shortest bridge,1 halfbeat; left cross; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a up,C a down,source,,,
1,0,C a down,L b up,source,,,
2,0,L b up,L b down,source,,,
3,0,L b down,C a up,source,Turn right between 3 and 4: left cross; right hold.,,Verified. Keep this phase candidate; do not collapse adjacent legal turn-edge notations.
4,180,L a up,L a down,target,First exact target offset 1 row.,,
5,180,C b down,L a up,target,,,
6,180,C b up,C b down,target,,,
7,180,L a down,C b up,target,,,
8,180,L a up,L a down,target,Target cycle closes.,,
,,,,,,,
CASE SS-CW-3-TO-CCW-1-TURN-RIGHT — CANDIDATE B OF 2,verified,,,,,,
Fixed endpoints,SS clockwise source offset 3 → SS counterclockwise target offset 1; turn right.,,,,,,
Shortest bridge,1 halfbeat; left cross; right hold; direct target entry with no setup/recovery node predicted by the current model.,,,,,,
Verification question,Can both hands perform this shared turn edge and immediately continue the exact target weave cycle?,,,,,,
t,facing,left,right,region,Edge after row / model note,Physical correction,Naturalness
0,0,C a down,L b up,source,,,
1,0,L b up,L b down,source,,,
2,0,L b down,C a up,source,,,
3,0,C a up,C a down,source,Turn right between 3 and 4: left cross; right hold.,,Verified. Keep this phase candidate; do not collapse adjacent legal turn-edge notations.
4,180,C b down,L a up,target,First exact target offset 1 row.,,
5,180,C b up,C b down,target,,,
6,180,L a down,C b up,target,,,
7,180,L a up,L a down,target,,,
8,180,C b down,L a up,target,Target cycle closes.,,
