batch_id,case_id,route_id,selection_reason,seed,source_left,source_right,source_direction,source_offset,target_left,target_right,target_direction,target_offset,timing,source_family,target_family,turn_direction,bridge_halfbeats,preparation_halfbeats,recovery_halfbeats,shortest_bridge_halfbeats,is_shortest,model_status,evidence_status,evidence_references
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,verified direct control · turn left,20260730,low-native,low-non-native,same-cw,3,low-native,low-non-native,same-ccw,1,SS,weave,weave,left,1,0,0,1,true,valid,exact-route-verified,research/mel-turning/verified/low-weaves-left-ss-cw-3-to-ccw-1.csv
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,verified adjacent-phase direct control · turn left,20260730,low-native,low-non-native,same-cw,3,low-native,low-non-native,same-ccw,1,SS,weave,weave,left,1,0,0,1,true,valid,exact-route-verified,research/mel-turning/verified/low-weaves-left-ss-cw-3-to-ccw-1.csv
solver-review-001,solver-review-001-03,low-reel-route-6a4bc2fa,verified direct control · turn right,20260730,low-native,low-non-native,same-cw,3,low-native,low-non-native,same-ccw,1,SS,weave,weave,right,1,0,0,1,true,valid,exact-route-verified,research/mel-turning/verified/low-weaves-left-ss-cw-3-to-ccw-1.csv
solver-review-001,solver-review-001-04,low-reel-route-a79d0ed3,verified same-anchor preparation control,20260730,low-native,low-native,same-cw,1,low-native,low-native,same-ccw,3,TS,mill,mill,right,2,1,0,1,false,valid,exact-route-verified,research/mel-turning/verified/low-reels-two-hand-together-same-turn-right.csv
solver-review-001,solver-review-001-05,low-reel-route-81634d59,diverse candidate pair 1 · alternative 1,20260730,low-non-native,low-non-native,opposite-in,3,low-non-native,low-native,opposite-out,0,SO,mill,weave,right,2,1,0,1,false,unresolved,unreviewed,
solver-review-001,solver-review-001-06,low-reel-route-76cf0bcf,diverse candidate pair 1 · alternative 2,20260730,low-non-native,low-non-native,opposite-in,3,low-non-native,low-native,opposite-out,0,SO,mill,weave,right,1,0,0,1,true,valid,unreviewed,
solver-review-001,solver-review-001-07,low-reel-route-2192cee1,diverse candidate pair 2 · alternative 1,20260730,low-non-native,low-non-native,same-ccw,2,low-native,low-non-native,same-cw,1,SS,mill,weave,left,3,0,2,1,false,unresolved,unreviewed,
solver-review-001,solver-review-001-08,low-reel-route-6641d87e,diverse candidate pair 2 · alternative 2,20260730,low-non-native,low-non-native,same-ccw,2,low-native,low-non-native,same-cw,1,SS,mill,weave,left,1,0,0,1,true,valid,unreviewed,
solver-review-001,solver-review-001-09,low-reel-route-2bb879c6,diverse candidate pair 3 · alternative 1,20260730,low-back,low-non-native,same-cw,1,low-native,low-native,same-ccw,3,TS,mill,mill,left,3,1,1,1,false,unresolved,unreviewed,
solver-review-001,solver-review-001-10,low-reel-route-d5c7fcee,diverse candidate pair 3 · alternative 2,20260730,low-back,low-non-native,same-cw,1,low-native,low-native,same-ccw,3,TS,mill,mill,left,2,1,0,1,false,unresolved,unreviewed,
solver-review-001,solver-review-001-11,low-reel-route-dc330096,diverse candidate pair 4 · alternative 1,20260730,low-native,low-native,opposite-out,2,low-non-native,low-native,opposite-in,1,TO,mill,weave,right,3,0,2,1,false,unresolved,unreviewed,
solver-review-001,solver-review-001-12,low-reel-route-65a48053,diverse candidate pair 4 · alternative 2,20260730,low-native,low-native,opposite-out,2,low-non-native,low-native,opposite-in,1,TO,mill,weave,right,1,0,0,1,true,valid,unreviewed,
solver-review-001,solver-review-001-13,low-reel-route-f820698e,diverse candidate pair 5 · alternative 1,20260730,low-back,low-native,same-cw,0,low-back,low-native,same-ccw,2,TS,weave,weave,right,3,2,0,1,false,unresolved,unreviewed,
solver-review-001,solver-review-001-14,low-reel-route-a81ed39e,diverse candidate pair 5 · alternative 2,20260730,low-back,low-native,same-cw,0,low-back,low-native,same-ccw,2,TS,weave,weave,right,2,0,1,1,false,unresolved,unreviewed,
solver-review-001,solver-review-001-15,low-reel-route-5b5b576a,diverse candidate pair 6 · alternative 1,20260730,low-native,low-non-native,same-cw,1,low-non-native,low-non-native,same-ccw,0,SS,weave,mill,right,4,2,1,2,false,unresolved,unreviewed,
solver-review-001,solver-review-001-16,low-reel-route-66bde380,diverse candidate pair 6 · alternative 2,20260730,low-native,low-non-native,same-cw,1,low-non-native,low-non-native,same-ccw,0,SS,weave,mill,right,4,0,3,2,false,unresolved,unreviewed,
